****** begin! ******
****** step1 ******
episode 0, total reward -444.3598298980317
episode 614, total reward -642.6018107453604
episode 615, total reward -455.79291608500387
episode 616, total reward -532.3425170322423
episode 617, total reward -459.74388343427864
episode 618, total reward -373.2945083270377
episode 619, total reward -506.63637362054
episode 620, total reward -360.3565856856657
start test!
average_test_reward_sum = -517.1184649782904
episode 621, total reward -294.14228959455994
episode 622, total reward -267.02239343721527
episode 623, total reward -407.37919745990166
episode 624, total reward -539.5068332306337
episode 625, total reward -464.7078705294252
episode 626, total reward -687.2558175870389
episode 627, total reward -340.298304563452
episode 628, total reward -475.57254536909744
episode 629, total reward -396.8098326209185
episode 630, total reward -555.0432654002983
episode 631, total reward -458.18612063220866
episode 632, total reward -518.5801526241212
episode 633, total reward -462.1977192801931
episode 634, total reward -372.3302068656996
episode 635, total reward -365.98148012812453
episode 636, total reward -583.3547489329704
episode 637, total reward -361.8843666914957
episode 638, total reward -531.956071478724
episode 639, total reward -548.5245155395862
episode 640, total reward -635.9318556824344
start test!
average_test_reward_sum = -470.9725951356286
episode 641, total reward -360.9807477621579
episode 642, total reward -587.3684257703784
episode 643, total reward -570.8135962767094
episode 644, total reward -446.29607147846076
episode 645, total reward -557.0984798713906
episode 646, total reward -250.68472388810923
episode 647, total reward -469.0001513437926
episode 648, total reward -484.3575848167199
episode 649, total reward -260.33999036869267
episode 650, total reward -483.86605570799037
episode 651, total reward -314.4407911999457
episode 652, total reward -541.4378468053861
episode 653, total reward -377.9787607972957
episode 654, total reward -251.86924203278258
episode 655, total reward -363.015171075762
episode 656, total reward -447.0646676407076
episode 657, total reward -554.468771008505
episode 658, total reward -555.7263494847856
episode 659, total reward -625.426347813228
episode 660, total reward -293.4996289321368
start test!
average_test_reward_sum = -511.6034188592729
episode 661, total reward -439.60627960367987
episode 662, total reward -253.86979146997584
episode 663, total reward -534.34793913829
episode 664, total reward -490.9989170575609
episode 665, total reward -448.3029838314706
episode 666, total reward -549.4527916677216
episode 667, total reward -369.2500738186337
episode 668, total reward -666.9822330385
episode 669, total reward -596.4983627496604
episode 670, total reward -364.33277677875714
episode 671, total reward -675.3315577131835
episode 672, total reward -468.4611124629166
episode 673, total reward -660.7951593219183
episode 674, total reward -512.1892457452426
episode 675, total reward -383.5200231793524
episode 676, total reward -367.651258776674
episode 677, total reward -645.0903772439077
episode 678, total reward -393.2349325630946
episode 679, total reward -613.647752970992
episode 680, total reward -257.84607698008267
start test!
average_test_reward_sum = -530.954708336626
episode 681, total reward -363.7672876037541
episode 682, total reward -363.0741600853347
episode 683, total reward -499.73486536405346
episode 684, total reward -377.62900460703463
episode 685, total reward -297.5263892116085
episode 686, total reward -264.1431987302811
episode 687, total reward -368.3787145247191
episode 688, total reward -455.2099930936436
episode 689, total reward -367.3930518511345
episode 690, total reward -470.9284128772271
episode 691, total reward -572.7603645377959
episode 692, total reward -449.25904739579636
episode 693, total reward -388.5629762564804
episode 694, total reward -273.2430193601125
episode 695, total reward -373.3806738338672
episode 696, total reward -271.0005833062798
episode 697, total reward -358.28405316348733
episode 698, total reward -497.53807035563693
episode 699, total reward -559.4389892835779
episode 700, total reward -460.1531383874114
start test!
average_test_reward_sum = -503.9414455737865
episode 701, total reward -668.2136654107213
episode 702, total reward -363.05707960603513
episode 703, total reward -538.9646815281616
episode 704, total reward -640.6901426295653
episode 705, total reward -461.43223371828566
episode 706, total reward -363.40444035231917
episode 707, total reward -403.76028273541067
episode 708, total reward -358.83435942913036
episode 709, total reward -271.6716919670064
episode 710, total reward -260.1480345603673
episode 711, total reward -649.4803865718947
episode 712, total reward -532.3783525913059
episode 713, total reward -367.7906063598291
episode 714, total reward -363.547637111713
episode 715, total reward -446.46435220038035
episode 716, total reward -598.6178663903186
episode 717, total reward -443.77344012654413
episode 718, total reward -264.285435753972
episode 719, total reward -526.1816631965384
episode 720, total reward -389.4622871364304
start test!
average_test_reward_sum = -481.58592956513866
episode 721, total reward -492.7757586119617
episode 722, total reward -372.54193902457166
episode 723, total reward -534.7135740139489
episode 724, total reward -581.1248747301277
episode 725, total reward -356.4223665964365
episode 726, total reward -543.5177995809199
episode 727, total reward -574.9509119918656
episode 728, total reward -514.9601719334943
episode 729, total reward -590.0692430068306
episode 730, total reward -530.8464368801623
episode 731, total reward -588.8854777639931
episode 732, total reward -565.6232226397312
